"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Computer Science","Computer and Information Sciences, General.",136099,218770,"UCLA"
"Computer Science","Computer and Information Sciences, General.",136659,287429,"UCLA"
"Computer Science","Computer Software and Media Applications.",45387,78524,"Academy of Art University"
"Computer Science","Computer Software and Media Applications.",55139,115316,"Academy of Art University"
"Computer Science","Computer Systems Networking and Telecommunications.",13653,24741,"Associated Technical College-Los Angeles"
"Computer Science","Computer and Information Sciences, General.",NA,12603,"Associated Technical College-San Diego"
"Computer Science","Computer and Information Sciences, General.",NA,83541,"Azusa Pacific University"
"Computer Science","Computer and Information Sciences, General.",NA,232903,"California Institute of Technology"
"Computer Science","Computer Science.",68398,91699,"California Lutheran University"
"Computer Science","Computer and Information Sciences, General.",NA,192621,"California Polytechnic State University-San Luis Obispo"
"Computer Science","Computer and Information Sciences, General.",NA,183105,"California Polytechnic State University-San Luis Obispo"
"Computer Science","Computer Science.",NA,83688,"California State University-Bakersfield"
"Computer Science","Computer Science.",41631,78283,"California State University-Stanislaus"
"Computer Science","Computer and Information Sciences, General.",42180,77323,"California State University-San Bernardino"
"Computer Science","Computer Science.",45846,94648,"California State University-San Bernardino"
"Computer Science","Computer Science.",60740,107324,"California State Polytechnic University-Pomona"
"Computer Science","Computer and Information Sciences, General.",49967,90685,"California State University-Chico"
"Computer Science","Computer Science.",81021,125103,"California State University-Chico"
"Computer Science","Computer and Information Sciences, General.",49916,60375,"California State University-Dominguez Hills"
"Computer Science","Computer Science.",34482,96640,"California State University-Dominguez Hills"
"Computer Science","Computer and Information Sciences, General.",39954,80652,"California State University-Fresno"
"Computer Science","Computer Science.",53566,91077,"California State University-Fresno"
"Computer Science","Information Science/Studies.",49897,70302,"California State University-Fullerton"
"Computer Science","Computer Science.",57307,108989,"California State University-Fullerton"
"Computer Science","Computer Science.",NA,118312,"California State University-Fullerton"
"Computer Science","Computer Science.",60371,111870,"California State University-East Bay"
"Computer Science","Computer Science.",60378,93142,"California State University-Long Beach"
"Computer Science","Computer and Information Sciences, General.",45355,69513,"California State University-Los Angeles"
"Computer Science","Computer Science.",44530,100735,"California State University-Los Angeles"
"Computer Science","Computer and Information Sciences, General.",55931,82112,"California State University-Northridge"
"Computer Science","Computer Science.",62821,113922,"California State University-Northridge"
"Computer Science","Computer Science.",60028,108027,"California State University-Sacramento"
"Computer Science","Information Science/Studies.",NA,214399,"University of California-Berkeley"
"Computer Science","Computer Science.",149866,225140,"University of California-Berkeley"
"Computer Science","Computer and Information Sciences, General.",84343,143465,"University of California-Davis"
"Computer Science","Computer and Information Sciences, General.",53517,122422,"University of California-Irvine"
"Computer Science","Computer Science.",82161,132705,"University of California-Irvine"
"Computer Science","Computer Science.",112006,160463,"University of California-San Diego"
"Computer Science","Computer Science.",148262,301159,"University of California-San Diego"
"Computer Science","Computer Science.",107776,145485,"University of California-Santa Barbara"
"Computer Science","Computer Science.",75150,120928,"University of California-Santa Cruz"
"Computer Science","Computer/Information Technology Administration and Management.",55773,108700,"University of California-Santa Cruz"
"Computer Science","Computer Science.",NA,75119,"City College of San Francisco"
"Computer Science","Computer Science.",132265,220204,"Harvey Mudd College"
"Computer Science","Computer/Information Technology Administration and Management.",43827,47972,"MTI College"
"Computer Science","Computer/Information Technology Administration and Management.",39970,59576,"MTI College"
"Computer Science","Computer Science.",87383,84278,"National University"
"Computer Science","Computer Science.",82441,114787,"National University"
"Computer Science","Computer/Information Technology Administration and Management.",NA,78572,"National University"
"Computer Science","Computer/Information Technology Administration and Management.",96647,126841,"National University"
"Computer Science","Computer Science.",90476,96655,"University of the Pacific"
