"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Computer Science","Computer and Information Sciences, General.",136099,218770,"UCLA"
"Computer Science","Computer and Information Sciences, General.",136659,287429,"UCLA"
"Computer Science","Computer and Information Sciences, General.",NA,232903,"California Institute of Technology"
"Computer Science","Information Science/Studies.",NA,214399,"University of California-Berkeley"
"Computer Science","Computer Science.",149866,225140,"University of California-Berkeley"
"Computer Science","Computer and Information Sciences, General.",133293,271466,"Yale University"
"Computer Science","Computer Science.",117578,227147,"University of Chicago"
"Computer Science","Computer Science.",135918,151585,"University of Chicago"
"Computer Science","Computer Science.",152251,219550,"Harvard University"
"Computer Science","Computer Science.",154492,220064,"Massachusetts Institute of Technology"
"Computer Science","Computer and Information Sciences, General.",103650,140860,"Cornell University"
"Computer Science","Computer Science.",152656,219827,"Cornell University"
"Computer Science","Computer Science.",153588,224974,"Cornell University"
"Computer Science","Computer and Information Sciences, General.",146204,298016,"University of Pennsylvania"
"Computer Science","Computer and Information Sciences, General.",125122,279525,"University of Pennsylvania"
"Computer Science","Computer Science.",124678,171166,"University of Pennsylvania"
"Computer Science","Computer Science.",138613,247797,"Stanford University"
"Computer Science","Computer Science.",199761,331747,"Stanford University"
"Nursing","Dentistry.",78035,132919,"UCLA"
"Nursing","Medicine.",74916,178507,"UCLA"
"Nursing","Public Health.",75311,114617,"UCLA"
"Nursing","Public Health.",115362,133209,"UCLA"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",94611,123885,"UCLA"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",112065,127653,"UCLA"
"Nursing","Optometry.",88760,117797,"University of California-Berkeley"
"Nursing","Public Health.",48351,81604,"University of California-Berkeley"
"Nursing","Public Health.",NA,106720,"University of California-Berkeley"
"Nursing","Health and Medical Administrative Services.",102040,127969,"Yale University"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",124979,129385,"Yale University"
"Nursing","Medicine.",75823,105217,"Yale University"
"Nursing","Public Health.",72627,94970,"Yale University"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",113472,128563,"Yale University"
"Nursing","Medicine.",70564,143277,"University of Chicago"
"Nursing","Dentistry.",74743,172732,"Harvard University"
"Nursing","Advanced/Graduate Dentistry and Oral Sciences.",206974,281043,"Harvard University"
"Nursing","Medicine.",76146,139818,"Harvard University"
"Nursing","Public Health.",108479,204275,"Harvard University"
"Nursing","Public Health.",104766,120143,"Harvard University"
"Nursing","Health and Medical Administrative Services.",82997,138115,"Cornell University"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",NA,138955,"Cornell University"
"Nursing","Medicine.",NA,135907,"Cornell University"
"Nursing","Dentistry.",80541,154560,"University of Pennsylvania"
"Nursing","Advanced/Graduate Dentistry and Oral Sciences.",220594,224402,"University of Pennsylvania"
"Nursing","Health and Medical Administrative Services.",161843,313615,"University of Pennsylvania"
"Nursing","Medicine.",71367,142943,"University of Pennsylvania"
"Nursing","Mental and Social Health Services and Allied Professions.",58269,91201,"University of Pennsylvania"
"Nursing","Public Health.",65496,94427,"University of Pennsylvania"
"Nursing","Bioethics/Medical Ethics.",80564,192347,"University of Pennsylvania"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",160797,163262,"University of Pennsylvania"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",80943,114013,"University of Pennsylvania"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",115382,136122,"University of Pennsylvania"
