"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Computer Science","Computer and Information Sciences, General.",136099,218770,"UCLA"
"Computer Science","Computer and Information Sciences, General.",136659,287429,"UCLA"
"Computer Science","Information Science/Studies.",NA,214399,"University of California-Berkeley"
"Computer Science","Computer Science.",149866,225140,"University of California-Berkeley"
"Computer Science","Computer and Information Sciences, General.",84343,143465,"University of California-Davis"
"Computer Science","Computer and Information Sciences, General.",53517,122422,"University of California-Irvine"
"Computer Science","Computer Science.",82161,132705,"University of California-Irvine"
"Computer Science","Computer Science.",112006,160463,"University of California-San Diego"
"Computer Science","Computer Science.",148262,301159,"University of California-San Diego"
"Computer Science","Computer Science.",107776,145485,"University of California-Santa Barbara"
"Computer Science","Computer and Information Sciences, General.",90651,128097,"University of Florida"
"Computer Science","Computer Systems Analysis.",81733,118505,"University of Florida"
"Computer Science","Computer Science.",79546,100784,"University of Georgia"
"Computer Science","Computer Science.",124530,170405,"University of Illinois Urbana-Champaign"
"Computer Science","Computer Science.",146670,201739,"University of Illinois Urbana-Champaign"
"Computer Science","Information Science/Studies.",75834,102438,"University of North Carolina at Chapel Hill"
"Computer Science","Computer Science.",90293,124977,"University of North Carolina at Chapel Hill"
"Computer Science","Computer and Information Sciences, General.",98067,160993,"University of Virginia-Main Campus"
"Computer Science","Computer Software and Media Applications.",112959,170198,"University of Virginia-Main Campus"
"Nursing","Dentistry.",78035,132919,"UCLA"
"Nursing","Medicine.",74916,178507,"UCLA"
"Nursing","Public Health.",75311,114617,"UCLA"
"Nursing","Public Health.",115362,133209,"UCLA"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",94611,123885,"UCLA"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",112065,127653,"UCLA"
"Nursing","Optometry.",88760,117797,"University of California-Berkeley"
"Nursing","Public Health.",48351,81604,"University of California-Berkeley"
"Nursing","Public Health.",NA,106720,"University of California-Berkeley"
"Nursing","Medicine.",72848,202075,"University of California-Davis"
"Nursing","Pharmacy, Pharmaceutical Sciences, and Administration.",40002,82523,"University of California-Davis"
"Nursing","Public Health.",52119,75971,"University of California-Davis"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",141870,172861,"University of California-Davis"
"Nursing","Health Professions and Related Clinical Sciences, Other.",133463,175076,"University of California-Davis"
"Nursing","Health and Medical Administrative Services.",NA,246519,"University of California-Irvine"
"Nursing","Medicine.",71598,143998,"University of California-Irvine"
"Nursing","Pharmacy, Pharmaceutical Sciences, and Administration.",20538,92028,"University of California-Irvine"
"Nursing","Public Health.",35463,64449,"University of California-Irvine"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",87715,118467,"University of California-Irvine"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",87217,150439,"University of California-Irvine"
"Nursing","Medicine.",67163,129999,"University of California-San Diego"
"Nursing","Medical Clinical Sciences/Graduate Medical Studies.",121264,132434,"University of California-San Diego"
"Nursing","Public Health.",39144,67103,"University of California-San Diego"
"Nursing","Health Services/Allied Health/Health Sciences, General.",23493,81169,"University of Florida"
"Nursing","Communication Disorders Sciences and Services.",26539,59252,"University of Florida"
"Nursing","Communication Disorders Sciences and Services.",58884,69792,"University of Florida"
"Nursing","Communication Disorders Sciences and Services.",72758,89705,"University of Florida"
"Nursing","Dentistry.",132958,181489,"University of Florida"
"Nursing","Advanced/Graduate Dentistry and Oral Sciences.",246053,271873,"University of Florida"
"Nursing","Health and Medical Administrative Services.",67497,105472,"University of Florida"
