"6_yr_median_earnings","10_yr_median_earnings","school_name","unitid","total_enrollment"
27851,40628,Alabama A & M University,100654,6007
46572,54501,University of Alabama at Birmingham,100663,21639
30377,37621,Amridge University,100690,647
55610,61767,University of Alabama in Huntsville,100706,9237
27453,34502,Alabama State University,100724,3828
52233,59221,The University of Alabama,100751,38644
30739,33506,Central Alabama Community College,100760,1777
46266,50273,Athens State University,100812,2894
38216,44391,Auburn University at Montgomery,100830,5109
54629,65337,Auburn University,100858,31764
45229,59481,Birmingham-Southern College,100937,975
32196,36438,Chattahoochee Valley Community College,101028,1641
34115,34421,South University-Montgomery,101116,361
32883,42572,Enterprise State Community College,101143,2010
30808,34894,Coastal Alabama Community College,101161,6800
37313,43457,Faulkner University,101189,2817
29795,32937,Gadsden State Community College,101240,4352
15833,0,New Beginning College of Cosmetology,101277,45
28431,31399,George C Wallace Community College-Dothan,101286,3832
36129,39842,George C Wallace State Community College-Hanceville,101295,5965
25214,31598,George C Wallace State Community College-Selma,101301,1860
35295,36909,Herzing University-Birmingham,101365,578
42147,49601,Huntingdon College,101435,817
0,42597,Heritage Christian University,101453,143
27211,28281,J. F. Drake State Community and Technical College,101462,976
0,0,J F Ingram State Technical College,101471,768
40158,45235,Jacksonville State University,101480,9632
35502,40719,Jefferson State Community College,101505,8431
32579,38192,John C Calhoun State Community College,101514,8163
27733,31701,Lawson State Community College,101569,2919
37106,44232,University of West Alabama,101587,5860
30010,32307,Lurleen B Wallace Community College,101602,1929
45043,59644,Marion Military Institute,101648,320
25822,32627,Miles College,101675,1258
37411,43611,University of Mobile,101693,1804
35406,42957,University of Montevallo,101709,2586
31469,33828,Northwest Shoals Community College,101736,4032
38295,45415,University of North Alabama,101879,9830
31750,34913,Northeast Alabama Community College,101897,2590
30969,42488,Oakwood University,101912,1470
28287,28982,Reid State Technical College,101994,434
25100,29916,Bishop State Community College,102030,2968
49466,58469,Samford University,102049,5682
0,0,Selma University,102058,50
31581,35014,Shelton State Community College,102067,4166
32858,35735,Snead State Community College,102076,2507
41307,49379,University of South Alabama,102094,13438
41358,51500,Spring Hill College,102234,1046
29790,35421,Stillman College,102270,744
22613,32229,Talladega College,102298,903
28657,32183,H Councill Trenholm State Community College,102313,1984
39392,42062,Troy University,102368,14156
38332,49641,Tuskegee University,102377,2570
45521,55257,United States Sports Academy,102395,240
31129,34107,Bevill State Community College,102429,3703
42313,51871,University of Alaska Anchorage,102553,10464
0,0,Alaska Bible College,102580,39
40746,48866,University of Alaska Fairbanks,102614,6607
38811,48475,University of Alaska Southeast,102632,1923
47803,54271,Alaska Pacific University,102669,590
42187,51083,Alaska Vocational Technical Center,102711,202
35427,35504,Charter College,102845,2117
35863,34468,Alaska Career College,103501,268
19285,25073,Empire Beauty School-Tucson,103741,184
34062,36718,Carrington College-Phoenix North,103893,1048
34062,36718,Carrington College-Mesa,103909,532
34062,36718,Carrington College-Tucson,103927,446
19104,21201,Arizona Academy of Beauty,103954,34
26349,31102,Miller-Motte College-Arizona Automotive Institute,103963,411
32705,29576,Brookline College-Phoenix,104090,888
52843,62668,Arizona State University Campus Immersion,104151,80065
32165,36857,Arizona Western College,104160,8050
47665,59979,University of Arizona,104179,49403
36057,40513,Central Arizona College,104346,4652
16810,26269,Charles of Italy Beauty College,104391,85
33836,38033,Cochise County Community College District,104425,3797
20215,23921,Empire Beauty School-Chandler,104443,60
29562,30803,Avalon Institute-Mesa,104568,383
33246,38018,Eastern Arizona College,104577,4864
65391,84131,Embry-Riddle Aeronautical University-Prescott,104586,3162
0,0,The School of Architecture,104665,6
37269,43108,Glendale Community College,104708,13342
47280,42186,Grand Canyon University,104717,
42262,46147,GateWay Community College,105145,4699
38702,44034,Mesa Community College,105154,15772
33428,35522,Mohave Community College,105206,4038
42989,48341,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,105215,658
23195,29188,Dine College,105297,1552
47308,54384,Northern Arizona University,105330,28086
29631,34199,Northland Pioneer College,105349,2740
36674,40870,Phoenix College,105428,9649
34622,39810,Pima Community College,105525,15293
37302,38673,Pima Medical Institute-Tucson,105534,2589
28599,30917,Pima Medical Institute-Albuquerque,105543,690
33539,42359,Prescott College,105589,969
47246,52953,Refrigeration School Inc,105659,1006
42314,41015,Rio Salado College,105668,17078
36340,35209,Roberto-Venn School of Luthiery,105677,27
39059,47905,Scottsdale Community College,105747,7065
35633,39825,South Mountain Community College,105792,3706
39524,51612,Arizona Christian University,105899,1082
47320,52873,Universal Technical Institute of Arizona Inc,106041,1972
35028,39890,Yavapai College,106148,6997
40040,45265,University of Arkansas at Little Rock,106245,8197
66491,73827,University of Arkansas for Medical Sciences,106263,3240
22652,28418,Arkansas Baptist College,106306,497
14638,18078,Arkansas Beauty School-Little Rock,106315,98
20636,16857,Arkansas Beauty College,106324,29
37629,44232,Lyon College,106342,496
16624,16209,Arkansas Technical School,106351,60
49686,58191,University of Arkansas,106397,30936
31161,35550,University of Arkansas at Pine Bluff,106412,2387
32587,36603,Arkansas State University-Beebe,106449,2928
38944,42617,Arkansas State University,106458,13190
37638,41766,Arkansas Tech University,106467,9445
31332,36902,University of Arkansas at Monticello,106485,2719
20177,21954,Arthur's Beauty College,106494,37
53393,62244,Baptist Health College Little Rock,106546,549
31263,34818,Black River Technical College,106625,1566
36670,45938,University of Central Arkansas,106704,9913
37681,46789,Central Baptist College,106713,564
30249,33775,Cossatot Community College of the University of Arkansas,106795,1278
33362,39533,Crowley's Ridge College,106810,201
26801,28471,East Arkansas Community College,106883,1179
18994,24765,Paul Mitchell the School-Little Rock,106908,358
