unitid,instnm,stabbr,md_earn_wne_p10,ugds,year
110635,University of California-Berkeley,CA,92446,33073,latest
110644,University of California-Davis,CA,80838,31777,latest
110653,University of California-Irvine,CA,80735,29494,latest
110680,University of California-San Diego,CA,84943,33787,latest
110705,University of California-Santa Barbara,CA,74915,23205,latest
134130,University of Florida,FL,71588,34102,latest
139959,University of Georgia,GA,68726,31310,latest
145637,University of Illinois Urbana-Champaign,IL,81054,34623,latest
199120,University of North Carolina at Chapel Hill,NC,72200,20556,latest
234076,University of Virginia-Main Campus,VA,86863,17315,latest
